char_a,char_b,common_neighbors_after_book5,is_dead_character,is_historical_figure,is_narrative_exit,genuine_refusal
Ginevra Weasley,Rita Skeeter,23,False,False,False,True
Cho Chang,Vincent Crabbe,23,False,False,False,True
Severus Snape,Vernon Dursley,23,False,False,False,True
Dolores Umbridge,Nymphadora Tonks,23,False,False,False,True
Godric Gryffindor,Lucius Malfoy,23,False,True,False,False
Cho Chang,Colin Creevey,23,False,False,False,True
Fleur Delacour,Tom Riddle,23,False,False,False,True
Ernest Macmillan,Rubeus Hagrid,23,False,False,False,True
Dobby,Molly Weasley,23,False,False,False,True
Fred Weasley,Olympe Maxime,23,False,False,False,True
Sybill Trelawney,Vincent Crabbe,22,False,False,False,True
Rolanda Hooch,Severus Snape,22,False,False,False,True
Ginevra Weasley,Justin Finch-Fletchley,22,False,False,False,True
Alastor Moody,Colin Creevey,22,False,False,False,True
Gilderoy Lockhart,Helga Hufflepuff,22,False,True,True,False
Bartemius Crouch Senior,Salazar Slytherin,22,True,True,False,False
Cho Chang,Remus Lupin,22,False,False,False,True
Colin Creevey,Helga Hufflepuff,22,False,True,False,False
Cedric Diggory,Dobby,22,True,False,False,False
Draco Malfoy,Pomona Sprout,22,False,False,False,True
Alastor Moody,Oliver Wood,22,False,False,True,False
Rowena Ravenclaw,Vincent Crabbe,22,False,True,False,False
Dean Thomas,Percy Weasley,22,False,False,True,False
Cornelius Fudge,Vincent Crabbe,22,False,False,False,True
Colin Creevey,Sirius Black,22,True,False,False,False
Alicia Spinnet,Cho Chang,22,False,False,False,True
Angelina Johnson,Argus Filch,22,False,False,False,True
Oliver Wood,Tom Riddle,22,False,False,True,False
Fred Weasley,Justin Finch-Fletchley,22,False,False,False,True
Molly Weasley,Viktor Krum,22,False,False,False,True
Angelina Johnson,Sirius Black,22,True,False,False,False
Angelina Johnson,Tom Riddle,22,False,False,False,True
Dolores Umbridge,Justin Finch-Fletchley,22,False,False,False,True
Dolores Umbridge,Ludovic Bagman,22,False,False,False,True
Minerva McGonagall,Nymphadora Tonks,22,False,False,False,True
Argus Filch,Oliver Wood,22,False,False,True,False
Dean Thomas,Poppy Pomfrey,22,False,False,False,True
Parvati Patil,Tom Riddle,22,False,False,False,True
Gilderoy Lockhart,Sybill Trelawney,22,False,False,True,False
George Weasley,Justin Finch-Fletchley,22,False,False,False,True
Cedric Diggory,Parvati Patil,22,True,False,False,False
