book,character,global_degree,community_with_harry,community_size_with_harry,within_degree_with_harry,community_without_harry,community_size_without_harry,within_degree_without_harry
5,Vernon Dursley,162,0,76,155,4,5,77
5,Petunia Dursley,144,0,76,138,4,5,79
5,Arabella Figg,117,0,76,89,1,79,44
5,Grawp,129,1,39,76,0,48,76
5,Argus Filch,132,0,76,105,3,32,46
5,Phineas Nigellus Black,82,0,76,76,1,79,26
5,Cassandra Trelawney,73,0,76,60,3,32,50
5,Lucius Malfoy,113,0,76,83,1,79,49
5,Rolanda Hooch,128,2,54,27,3,32,29
5,Cedric Diggory,113,0,76,101,3,32,44
5,Firenze,157,1,39,93,0,48,98
5,Dean Thomas,176,0,76,108,3,32,69
5,Kingsley Shacklebolt,163,2,54,56,1,79,106
5,Father Christmas,103,0,76,65,3,32,12
5,Salazar Slytherin,135,4,44,50,2,32,37
5,Ernest Macmillan,113,4,44,48,2,32,45
5,Peeves,85,0,76,51,3,32,18
5,Sybill Trelawney,139,0,76,89,3,32,57
5,Lavender Brown,103,4,44,41,3,32,46
5,Parvati Patil,112,4,44,41,3,32,48
5,Tofty,32,0,76,31,2,32,2
5,Mark Evans,62,0,76,59,1,79,50
5,Lee Jordan,91,2,54,53,5,10,53
5,Olympe Maxime,65,1,39,49,0,48,49
5,Gilderoy Lockhart,57,1,39,48,0,48,50
5,Fang,38,1,39,29,0,48,29
5,Michael Corner,70,1,39,55,0,48,58
5,Katie Bell,139,4,44,72,2,32,62
5,Alicia Spinnet,121,4,44,66,2,32,64
5,Roger Davies,58,0,76,35,3,32,19
5,Crookshanks,77,1,39,44,0,48,48
5,Fat Lady,36,0,76,24,0,48,12
5,Mungo Bonham,85,2,54,25,1,79,31
5,William Weasley,101,2,54,57,1,79,57
5,Aberforth Dumbledore,65,2,54,28,1,79,29
5,Bane,28,0,76,18,0,48,10
5,Karkus,43,1,39,36,0,48,36
5,Poppy Pomfrey,47,4,44,9,3,32,9
5,Zacharias Smith,58,2,54,14,5,10,14
5,Griselda Marchbanks,45,0,76,27,1,79,10
5,Fawkes,35,0,76,33,1,79,18
5,Cuthbert Binns,44,2,54,6,0,48,16
5,Sturgis Podmore,68,2,54,23,1,79,36
5,Filius Flitwick,86,2,54,15,3,32,35
5,Antonin Dolohov,35,0,76,21,1,79,15
5,Susan Bones,38,4,44,16,2,32,16
5,Pomona Sprout,53,4,44,7,3,32,23
5,Augustus Rookwood,31,0,76,22,1,79,18
5,Bradley,23,1,39,15,0,48,15
5,Trevor,25,4,44,12,0,48,14
5,Pansy Parkinson,82,4,44,36,2,32,31
5,Terry Boot,40,4,44,19,2,32,17
5,Lily J. Potter,28,0,76,26,1,79,21
5,Padma Patil,38,4,44,15,0,48,18
5,Buckbeak,26,5,6,5,1,79,11
5,Winky,18,0,76,18,3,32,10
5,Rowena Ravenclaw,65,1,39,36,0,48,43
5,Avery (Marauder-era),19,0,76,14,1,79,9
5,Cadogan,9,0,76,9,-1,0,0
5,Oliver Wood,30,4,44,6,2,32,6
5,Graham Montague,58,4,44,26,2,32,18
5,Sorting Hat,18,1,39,11,0,48,12
5,Helga Hufflepuff,54,4,44,29,2,32,22
5,Stanley Shunpike,15,0,76,11,1,79,3
5,Mrs Norris,19,0,76,15,3,32,7
5,Irma Pince,16,1,39,6,0,48,6
5,Pigwidgeon,34,1,39,11,0,48,19
5,Charles Weasley,28,2,54,17,5,10,15
5,Broderick Bode,35,2,54,11,1,79,15
5,Rodolphus Lestrange,26,5,6,4,1,79,18
5,Wilbert Slinkhard,23,2,54,7,3,32,6
5,Alice Longbottom,16,4,44,6,0,48,7
5,Magorian,21,0,76,15,3,32,7
5,Amelia Bones,23,2,54,12,1,79,14
5,Edgar Bones,17,2,54,9,1,79,12
5,Dilys Derwent,20,2,54,11,1,79,16
5,Hannah Abbott,43,4,44,29,2,32,24
5,Will,19,1,39,10,0,48,10
5,Augustus Pye,8,2,54,8,1,79,8
5,Puddifoot,11,0,76,10,3,32,4
5,Ragnok,8,2,54,8,1,79,8
5,Viktor Krum,13,1,39,10,0,48,10
5,Andrew Kirke,16,4,44,11,2,32,10
5,Jack Sloper,19,4,44,11,2,32,11
5,Tom Riddle Senior,16,0,76,15,1,79,7
5,Hestia Jones,9,2,54,8,1,79,8
5,Everard,18,2,54,6,1,79,11
5,Cassius Warrington,44,4,44,29,2,32,25
5,Andromeda Tonks,17,0,76,17,1,79,13
5,Williamson,13,0,76,13,1,79,13
5,Justin Finch-Fletchley,39,4,44,31,2,32,30
5,Walden Macnair,20,5,6,8,1,79,12
5,Euan Abercrombie,8,4,44,3,0,48,3
5,Millicent Bulstrode,13,1,39,7,0,48,7
5,Willy Widdershins,16,2,54,5,3,32,6
5,Emmeline Vance,8,2,54,4,1,79,4
5,Doris Purkiss,5,3,2,4,6,2,4
5,Stubby Boardman,10,3,2,4,6,2,4
5,Quirinus Quirrell,15,2,54,4,1,79,4
5,Merlin,25,0,76,15,1,79,15
5,Adrian Pucey,30,4,44,24,2,32,21
5,Bartemius Crouch Junior,15,0,76,12,1,79,12
5,Aurora Sinistra,9,0,76,6,3,32,2
5,Ronan,4,1,39,4,0,48,4
5,Aragog,8,1,39,4,0,48,4
5,Summerby,5,4,44,4,2,32,4
5,Perkins,7,0,76,6,1,79,3
5,Pierre Bonaccord,4,0,76,4,-1,0,0
5,Anthony Goldstein,38,4,44,24,2,32,21
5,Harold Dingle,8,1,39,4,0,48,4
5,Theodore Nott,9,4,44,3,1,79,4
5,Rabastan Lestrange,11,5,6,5,1,79,9
5,Kenneth Towler,5,2,54,5,5,10,5
5,Narcissa Malfoy,13,0,76,13,1,79,13
5,Hippocrates Smethwyck,4,2,54,4,1,79,4
5,Alphard Black,3,0,76,3,1,79,3
5,Colin Creevey,26,4,44,18,2,32,14
5,Baruffio,10,1,39,8,0,48,8
5,Dennis Creevey,11,4,44,9,2,32,9
5,Miriam Strout,4,2,54,4,1,79,4
5,Chambers,2,1,39,2,0,48,2
5,John Dawlish,7,0,76,6,1,79,6
5,Algie Longbottom,5,4,44,3,0,48,3
5,Lucian Bole,6,4,44,5,2,32,5
5,Mafalda Hopkirk,2,0,76,2,-1,0,0
5,Lachlan the Lanky,2,1,39,2,0,48,2
5,Ludovic Bagman,4,2,54,3,1,79,4
5,Barnabas the Barmy,5,4,44,3,2,32,3
5,Eric Munch,5,2,54,3,1,79,3
5,Armando Dippet,3,0,76,3,1,79,1
5,Wendelin the Weird,2,1,39,2,0,48,2
5,Dai Llewellyn,5,2,54,3,1,79,3
5,Tiberius Ogden,4,0,76,4,2,32,1
5,Stebbins (Potter-era),4,2,54,2,3,32,2
5,Rufus Scrimgeour,5,2,54,3,1,79,3
5,Ripper,2,0,76,2,-1,0,0
5,Piers Polkiss,4,0,76,4,4,5,2
5,Orion Black,2,0,76,2,-1,0,0
5,Eddie Carmichael,5,1,39,4,0,48,4
5,Wilfred the Wistful,2,0,76,2,-1,0,0
5,Fabian Prewett,9,2,54,5,1,79,7
5,Gideon Prewett,6,2,54,4,1,79,5
5,Geoffrey Hooper,3,1,39,3,7,2,2
5,Vicky Frobisher,3,1,39,3,7,2,2
5,Tenebrus,2,1,39,2,0,48,2
5,Ladislaw Zamojski,5,2,54,4,5,10,4
5,Fleur Delacour,7,2,54,5,5,10,4
5,Dorcas Meadowes,6,2,54,3,1,79,6
5,Elladora Black,3,2,54,1,1,79,3
5,Dedalus Diggle,6,2,54,5,1,79,6
